curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14
,CO_331:0000763,RnOV_Et_1to9,VIRUS,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_8.5.5,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000399,Reaction to Other virus,Biotic stress,The reaction of the plant to Other virus,,RnOV,,Plant,Reaction to Other virus,Legacy,Huaman1991:Def_8.5.5,CO_331:0000515,Visual estimation - Reaction of the plant to Other virus,Estimation,Observe the reaction to Other virus and rate it,,Huaman1991:Def_8.5.5,CO_331:0000633,RnOV 5 pt. scale,Ordinal,,,,Huaman1991:Def_8.5.5,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000764,RnWB_Et_1to9,BROOM,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_8.6.1,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000400,Reaction to Witches broom,Biotic stress,The reaction of the plant to Witches broom,,RnWB,,Plant,Reaction to Witches broom,Legacy,Huaman1991:Def_8.6.1,CO_331:0000516,Visual estimation - Reaction of the plant to Witches broom,Estimation,Observe the reaction to Witches broom and rate it,,Huaman1991:Def_8.6.1,CO_331:0000634,RnWB 5 pt. scale,Ordinal,,,,Huaman1991:Def_8.6.1,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000765,RnOM_Et_1to9,MYCOPLASMA,Evaluation in Trials,Root growing (RG),Legacy,Huaman1991:Def_8.6.2,"CIP, FAO, IPGRI",Z. Huaman,,EN,Sweetpotato,CO_331:0000401,Reaction to Other mycoplasma,Biotic stress,The reaction of the plant to Other mycoplasma,,RnOM,,Plant,Reaction to Other mycoplasma,Legacy,Huaman1991:Def_8.6.2,CO_331:0000517,Visual estimation - Reaction of the plant to Other mycoplasma,Estimation,Observe the reaction to Other mycoplasma and rate it,,Huaman1991:Def_8.6.2,CO_331:0000635,RnOM 5 pt. scale,Ordinal,,,,Huaman1991:Def_8.6.2,1 = Very low,3 = Low,5 = Intermediate,7 = High,9 = Very High,,,,,,,,,
,CO_331:0000766,RwRtTSg_Et_1to9,TOTSUG,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000402,Storage root total sugar content,Quality,The total sugar content of the storage root,,RwRtTSg,,Storage root,Total sugar content,Recommended,CIP_QNlab,CO_331:00001093,Visual estimation - Total sugar content,Estimation,Observe the total sugar content of the raw storage root and rate it,,W. Gruneberg,CO_331:0002035,RwRtTSg 9pt. Scale,Nominal,,,,W. Gruneberg,,,,,,,,,,,,,,
,CO_331:0000774,RtShpP_Et_1to8,RTSHP1,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000067,Storage root primary shape,Morphological,The shape of the storage root,,RtShp,,Storage root,Shape,Recommended,Huaman1991:Def_4.2.1,CO_331:0000526,Visual estimation - Storage root primary shape,Estimation,Observe the primary shape of the storage root and rate it,,NCSU2016,CO_331:0000644,RtShpP 8 pt. scale,Nominal,,,,NCSU2016,1 = Round,2 = Round elliptic,3 = Elliptic,4 = Long elliptic,5 = Ovoid,6 = Blocky (Oblong),7 = Irregular,8 = Asymmetric (tight hill),,,,,,
,CO_331:0000775,RtShpS_Et_1to8,RTSHP2,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000441,Storage root secondary shape,Morphological,The secondary shape of the storage root,,RtShpS,,Storage root,Secondary shape,Recommended,NCSU2016,CO_331:0000527,Visual estimation - Storage root secondary shape,Estimation,Observe the secondary shape of the storage root and rate it,,NCSU2016,CO_331:0000645,RtShpS 8 pt. scale,Ordinal,,,,NCSU2016,1 = Round,2 = Round elliptic,3 = Elliptic,4 = Long elliptic,5 = Ovoid,6 = Blocky (Oblong),7 = Irregular,8 = Asymmetric (tight hill),,,,,,
,CO_331:0000776,RtShpU_Et_1to9_NCSU,RTSHPU,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000409,Storage root shape uniformity,Morphological,The shape uniformity of the storage root,,RtShpU,,Storage root,Shape uniformity,Recommended,NCSU2016,CO_331:0000528,Visual estimation - Storage root shape uniformity,Estimation,Observe the shape uniformity of the storage root and rate it,,"Huaman1991:Def_6.1.4, NCSU2016",CO_331:0000646,RtShpU 5 pt. scale,Ordinal,,,,NCSU2016,1 = Very Poor,3 = Poor,5 = Moderate,7 = Good,9 = Excellent,,,,,,,,,
,CO_331:0000777,RtStk_Et_0to9,"RTSTFM,RTSTALK",Characterizing stocks,Root bulking (RB),Recommended,Huaman1991:Def_6.1.2,"CIP, FAO, IPGRI, AVRDC, IBPBR",Z. Huaman,,EN,Sweetpotato,CO_331:0000410,Storage root stalk,Morphological,The length of the storage root stalk,,RtStk,,Storage root stalk,Length,Recommended,Huaman1991:Def_6.1.2,CO_331:0000458,Measurement - Storage root stalk length,Measurement,Measure storage root stalk and rate it,,Huaman1991:Def_6.1.2,CO_331:0000576,RtStk 6 pt. scale,Ordinal,,,,Huaman1991:Def_6.1.2,0 = Sessile or absent,1 = Very short (<2 cm),3 = Short (2-5 cm),5 = Intermediate (6-8 cm),7 = Long (9-12 cm),9 = Very long (>12 cm),,,,,,,,
,CO_331:0000778,RtAtt_Et_1to9,RTATTACH,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000411,Storage root attachment ability,Morphological,The attachment ability of the storage root,,RtAtt,,Storage root,Attachment ability,Recommended,NCSU2016,CO_331:0000530,Visual estimation - Storage root attachment ability,Estimation,Observe the attachment ability of the storage root and rate it,,NCSU2016,CO_331:0000648,RtAtt 8 pt. scale,Ordinal,,,,NCSU2016,1 = Very tight,3 = Tight,5 = Moderate,7 = Light,9 = Very Light,,,,,,,,,
,CO_331:0000779,RtLDR_Cp_ratio,LDR,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000412,Length to diameter ratio of storage roots,Morphological,The length to diameter ratio of the storage root,,RtLDR,,Storage root,Length to diameter ratio,Recommended,NCSU2016,CO_331:0000531,Computation - Length to diameter ratio of storage roots method,Computation,Compute the ratio of the length and diameter of the storage roots using the formula,length / diameter,NCSU2016,CO_331:0000649,RtLDR,Numerical,2.0,0.0,10.0,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000780,RtSknCol_Et_1to12_NCSU,SKINCOLOR,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000049,Storage root skin predominant color,Morphological,The predominant or the most representative color of the storage root skin observed is recorded,,RtSknCol,,Storage root skin,Predominant color,Recommended,Gruneberg2019:Def_23,CO_331:0000532,Visual estimation - Storage root skin color method NCSU,Estimation,Observe the predominant color of the storage root skin and rate it,,NCSU2016,CO_331:0000650,RtSknCol 10 pt. scale,Ordinal,,,,NCSU2016,1 = White,2 = Cream,3 = Yellow,4 = Tan,5 = Orange,6 = Rose,7 = Pink,8 = Red,9 = Light Purple,10 = Purple,,,,
,CO_331:0000781,RtSknTxt_Et_1to9,RTSKNTEX,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000414,Storage root skin texture,Morphological,The texture of the storage root skin,,RtSknTxt,,Storage root skin,Texture,Recommended,NCSU2016,CO_331:0000533,Visual estimation - storage root skin texture,Estimation,Observe the texture of the storage root skin and rate it,,NCSU2016,CO_331:0000651,RtSknTxt 9 pt. scale,Ordinal,,,,NCSU2016,1 = Very Rough,3 = Moderately Rough,5 = Moderately Smooth,7 = Smooth,9 = Very Smooth,,,,,,,,,
,CO_331:0000782,RtFlsColC_Et_0to4,RTFLESH1,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000415,Storage root Flesh Color (carotenoids),Morphological,The predominant color of Carotenoids in the storage root flesh,,RtFlsColP,,Storage root flesh,Predominant color,Recommended,NCSU2016,CO_331:0000534,Visual estimation - storage root flesh color (carotenoids),Estimation,Observe the flesh color (carotenoids) of the storage root and rate it,,NCSU2016,CO_331:0000652,RtFlsColC 9 pt. scale,Ordinal,,,,NCSU2016,0 = White,0.5,1 = Cream,2 = Yellow,2.5 = Yellow with orange,2.75 = Orange with yellow,3 = Orange,3.5 = Dark Orange,4 = Very Dark Orange,,,,,
,CO_331:0000783,RtFlsColA_Et_0to4,RTFLESH2,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000416,Storage root Flesh Color (anthocyanins),Morphological,The predominant color of Anthocyanins in the storage root flesh,,RtFlsColP,,Storage root flesh,Predominant color,Recommended,NCSU2016,CO_331:0000535,Visual estimation - Storage root flesh color (anthocyanins),Estimation,Observe the flesh color (anthocyanins) of the storage root and rate it,,NCSU2016,CO_331:0000653,RtFlsColA 5 pt. scale,Ordinal,,,,NCSU2016,0 = No Anthocyanins,0.5,1 = Light Purple,2 = Moderate Purple,3 = Dark Purple,4 = Very Dark Purple,,,,,,,,
,CO_331:0000784,RtAdvB_Et_1to9,BUDS,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000417,Storage root adventitious buds depth,Morphological,The depth of the adventitious buds,,RtAdvB,,Storage root,Adventitious bud depth,Recommended,NCSU2016,CO_331:0000536,Visual estimation - Storage root adventitious buds depth,Estimation,Observe the depth of the adventitious buds in the storage root and rate it,,NCSU2016,CO_331:0000654,RtAdvB 5 pt. scale,Ordinal,,,,NCSU2016,1 = Very Deep,3 = Deep,5 = Moderate,7 = Shallow,9 = Very Shallow,,,,,,,,,
,CO_331:0000785,RtLtcl_Et_1to9,LENTS,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000418,Number of lenticels,Morphological,The number of the lenticels,,RtLtcl,,Storage root,Number of lenticels,Recommended,NCSU2016,CO_331:0000537,Visual estimation - Lenticel number,Estimation,Observe the number of lenticels and rate it,,NCSU2016,CO_331:0000655,RtLtcl 9 pt. scale,Ordinal,,,,NCSU2016,1 = Very Prominent,3 = Prominent,5 = Moderate,7 = Few,9 = None,,,,,,,,,
,CO_331:0000786,RnPSR_Et_0to5,SSR,Characterizing stocks,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000419,Reaction to Streptomyces Soil Rot,Biotic stress,The reaction of the storage root to streptomyces soil rot,,RnPSR,,Storage root,Reaction to Streptomyces Soil Rot,Recommended,NCSU2016,CO_331:0000538,Visual estimation - Reaction to Streptomyces Soil Rot,Estimation,Observe the reaction of the storage root to Streptomyces Soil Rot and rate it. Observe an average or all storage roots within a single plant or plot,,NCSU2016,CO_331:0000656,RnPSR 6 pt. scale,Ordinal,,,,NCSU2016,0 = Highly Susceptible,1 = Susceptible,2 = Moderately Susceptible,3 =Moderately Resistant,4 = Resistant,5 = Highly Resistant,,,,,,,,
,CO_331:0000787,RnMgRKN_Et_0to5_NCSU,RKN,Characterizing stocks,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000420,Reaction to Root Knot Nematode Meloidogyne spp,Biotic stress,The reaction of the storage root to Root Knot Nematode Meloidogyne spp,,RnMgRKN,,Storage root,Reaction to Root-knot nematode Meloidogyne spp,Recommended,NCSU2016,CO_331:0000539,Visual estimation - Reaction to Root Knot Nematode Meloidogyne spp,Estimation,Observe the reaction of the storage root to Root Knot Nematode Meloidogyne spp and rate it. Observe the appearance of an average or all fibrous roots within a single plant or plot,,NCSU2016,CO_331:0000657,RnMgRKN 6 pt. scale,Ordinal,,,,NCSU2016,0 = Highly Susceptible,1 = Susceptible,2 = Moderately Susceptible,3 =Moderately Resistant,4 = Resistant,5 = Highly Resistant,,,,,,,,
,CO_331:0000788,RnMgIRKN_Et_0to7_CIP,"RKN, MELOI",Characterizing stocks,Postharvest (PH),Recommended,CIP,CIP,CIP,,EN,Sweetpotato,CO_331:0000421,Reaction to Root Knot Nematode Meloidogyne incognita,Biotic stress,The reaction of the storage root to Root Knot Nematode Meloidogyne incognita,,RnMgIRKN,,Storage root,Reaction to Root-knot nematode Meloidogyne incognita,Recommended,CIP,CO_331:0000540,Visual estimation - Reaction to Root Knot Nematode Meloidogyne incognita,Estimation,Observe the reaction of the storage root to Root Knot Nematode Meloidogyne incognita and rate it. Observe the degree of necrosis and the number of galls in fibrous roots in 5 to 10 plant,,CIP,CO_331:0000658,RnMgIRKN 5 pt. scale,Ordinal,,,,CIP,1= Highly resistant (HR),2= Resistant (R) (1-10%),3 = Moderately resistant (MR) (11-25%),4 = Susceptible (S) (26-75%),5= Highly susceptible (HS) (>76%),,,,,,,,,
,CO_331:0000789,RnFR_Et_0to5,FWILT,Characterizing stocks,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000422,Reaction to Fusarium oxysporum,Biotic stress,The reaction of the storage root to Fusarium oxysporum batatas,,RnFR,,Storage root,Reaction to Fusarium oxysporum,Recommended,NCSU2016,CO_331:0000541,Visual estimation - Reaction to Fusarium oxysporum,Estimation,Observe the reaction of the storage root to Fusarium oxysporum and rate it. Observe an average or all fibrous roots within a single plant or plot,,NCSU2016,CO_331:0000659,RnFR 6 pt. scale,Ordinal,,,,NCSU2016,0 = Highly Susceptible,1 = Susceptible,2 = Moderately Susceptible,3 =Moderately Resistant,4 = Resistant,5 = Highly Resistant,,,,,,,,
,CO_331:0000790,RtDef_Et_1to14,RTDEF,Characterizing stocks,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000423,Storage root surface primary defects,Abiotic stress,Storage root surface primary defects,,RtSPDef,,Storage root,surface primary defects,Recommended,"Huaman1991:Def_4.2.2, NCSU2016",CO_331:0000542,Visual estimation - Storage Root Defects,Estimation,Observation of an average or all storage roots within a single plant or plot,,NCSU2016,CO_331:0000660,RtSPDef 14 pt. scale,Nominal,,,,"Yencho, C.",1 = Blisters (B),2 = Tea Staining (TS),3 = Air Cracking (AC),4 = Bumpy (B),5 = Cracking (CR),6 = Early Season Cracking (ESC),7 = Grooves (GR),8 = Insect Damage (INS),9 = LT = Excessive Latex,10 = Skinning (SK),11 = Sprouts (SPR),12 = Striations (STR),13 = Tails (T),14 = Veins (VN)
,CO_331:0000791,RtYldR_Et_1to9,RTRYIELD,Characterizing stocks,Harvest (H),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000424,Relative storage root yield,Agronomic,The overall visual estimation of storage root yield,,RtYldR,,Storage root,Relative Yield,Recommended,NCSU2016,CO_331:0000543,Estimation - Relative storage root yield method,Estimation,Observe the relative storage root yield and rate it. Observe an average or all storage roots within a single plant or plot,,NCSU2016,CO_331:0000661,RtYldR,Ordinal,,,,NCSU2016,1 = Very poor,3 = Poor,5 = Moderate,7 = Good,9 = Excellent,,,,,,,,,
,CO_331:0000792,RtYldChk_Cp_pct,RTYLDPCT,Evaluation in Trials,Harvest (H),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000425,Storage root yield relative to check,Agronomic,The overall computation of relative storage root yield,,RtYldChk,,Storage root,Relative yield,Recommended,NCSU2016,CO_331:0000544,Computation - Relative check of storage root yield method,Computation,Compute the storage root yield relative to check using the formula,,NCSU2016,CO_331:0000662,RtYldChk,Numerical,,,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000793,RtApr_Et_1to9_NCSU,RTAPPEAR,Characterizing stocks,Root bulking (RB),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000199,Storage root appearance,Morphological,The appearance of the storage root,Storage root form,RtApr,,Storage root,Appearance,Recommended,Gruneberg2019:Def_26,CO_331:0002146,Visual estimation - Storage root appearance -method NCSU,Estimation,Observe the appearance of the storage root and rate it,,NCSU2016,CO_331:0000663,RtApr 8 pt. scale,Ordinal,,,,NCSU2016,1 = Very Poor,3 = Poor,5 = Moderate,7 = Good,9 = Excellent,,,,,,,,,
,CO_331:0000794,PtMtSs_Et_0to4,SEASON,Characterizing stocks,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000427,Growing season,Agronomic,The overall visual assessment of storage root size relative to harvest date and/or total growing season,,PtMtSs,,Storage root,Yield,Recommended,NCSU2016,CO_331:0000546,Estimation - Growing season method,Estimation,Observe the growing season and rate it. Observe an average or all storage roots within a single plant or plot,,NCSU2016,CO_331:0000664,PtMtSs,Ordinal,,,,NCSU2016,0 = Late season,1 = Mid to late season,2 = Mid season,3 = Early to mid season,4 = Early season,,,,,,,,,
,CO_331:0000795,RtFlsAmy_Ms_mggDW,AMY,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000428,Storage root amylose concentration in dry weight basis,Biochemical,The amylose content in dry weight basis of the storage root,,RtFlsAmy,,Storage root,Amylose content in dry weight basis,Recommended,NCSU2016,CO_331:0002115,Measurement the amylose content - Near-infrared spectroscopy (NIRS) method,Measurement,Measure the amylose content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000796,RtFlsAsp_Ms_mggDW,ASP,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000429,Storage root asparagine concentration in dry weight basis,Biochemical,The asparagine content in dry weight basis of the storage root,Asparagine content of purple flesh sweetpotato,RtFlsAsp,,Storage root,Asparagine content in dry weight basis,Recommended,NCSU2016,CO_331:0002117,Measurement the asparagine content- Near-infrared spectroscopy (NIRS) method,Measurement,Measure the asparagine content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000797,RtFlsCya_Ms_mggDW,CYAN,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000430,Storage root cyanidin concentration in dry weight basis,Biochemical,The cyanidin content in dry weight basis of the storage root,"Cyanidin content, it is a pigment found in the purple flesh sweetpotato (PFSP).",RtFlsCya,,Storage root,Cyanidin content in dry weight basis,Recommended,NCSU2016,CO_331:0002124,Measurement the cyanidin content- Near-infrared spectroscopy (NIRS) method,Measurement,Measure the cyanidin content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000798,RtFlsAntM_Ms_mggDW,TMA,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000431,Storage root total monomeric anthocyanin concentration in dry weight basis,Biochemical,The total monomeric anthocyanin content in dry weight basis of the storage root,Total Monomeric Anthocyanins content of purple flesh sweetpotato,RtFlsAntM,,Storage root,Total monomeric anthocyanin content in dry weight basis,Recommended,NCSU2016,CO_331:0002131,Measurement the total monomeric anthocyanin content- Near-infrared spectroscopy (NIRS) method,Measurement,Measure the total monomeric anthocyanin content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000799,RtFlsPeo_Ms_mggDW,PEO,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000432,Storage root peonidin concentration in dry weight basis,Biochemical,The peonidin content in dry weight basis of the storage root,Peonidin content of purple flesh sweetpotato,RtFlsPeo,,Storage root,Peonidin content in dry weight basis,Recommended,NCSU2016,CO_331:0002087,Measurement  the peonidin content- Near-infrared spectroscopy (NIRS) method,Measurement,Measure the peonidin content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000800,RtFlsAnt_Ms_mggDW,ANTHO,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000433,Storage root anthocyanin concentration in dry weight basis,Biochemical,The anthocyanin content in dry weight basis of the storage root,Anthocyanin content of purple flesh sweetpotato,RtFlsAnt,,Storage root,Anthocyanin content in dry weight basis,Recommended,NCSU2016,CO_331:0002116,Measurement the anthocyanin content- Near-infrared spectroscopy (NIRS) method,Measurement,Measure the anthocyanin content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000801,RtFlsPhe_Ms_mggDW,PHEN,Evaluation in Trials,Postharvest (PH),Recommended,NCSU2016,NCSU,C. Yencho,,EN,Sweetpotato,CO_331:0000434,Storage root phenol concentration in dry weight basis,Biochemical,The phenol content in dry weight basis of the storage root,Phenol content of purple flesh sweetpotato,RtFlsPhe,,Storage root,Phenol content in dry weight basis,Recommended,NCSU2016,CO_331:0002129,Measurement the phenol content- Near-infrared spectroscopy (NIRS) method,Measurement,Measure the phenol content of the storage root and record it,,NCSU2016,CO_331:0000665,mg/g,Numerical,2.0,0.0,,NCSU2016,,,,,,,,,,,,,,
,CO_331:0000802,VnNds_Ct_pervine,VINTND,Evaluation in Trials,Root growing (RG),Recommended,CIP2016,CIP,D. Gemenet,,EN,Sweetpotato,CO_331:0000435,Node number per vine,Morphological,The number per vine of the nodes,,VnNds,,Node,Number per vine,Recommended,CIP2016,CO_331:0000554,Counting - Nodes number per vine,Counting,Count node number per vine and record it,,CIP2016,CO_331:0000672,VnNds,Numerical,2.0,0.0,,CIP2016,,,,,,,,,,,,,,
,CO_331:0000803,PtLvs_Ct_perplant,LEFTPP,Evaluation in Trials,Root growing (RG),Recommended,CIP2016,CIP,D. Gemenet,,EN,Sweetpotato,CO_331:0000436,Leaf number per plant,Morphological,The number per plant of the leafs,,PtLvs,,Leaf,Number per plant,Recommended,CIP2016,CO_331:0000555,Counting - Leaf number per plant,Counting,Count leaf number per plant and record it,,CIP2016,CO_331:0000673,PtLvs,Numerical,2.0,0.0,,CIP2016,,,,,,,,,,,,,,
,CO_331:0000805,RtsMillDam_Et_1to9,MILLDAM,Evaluation in Trials,Root bulking (RB),Recommended,CIP2016,"CIP, SASHA",T. Carey,,EN,Sweetpotato,CO_331:0000438,Millipede damage,Biotic stress,The reaction of the storage root to Millipede,,RtMillDam,,Storage root,Damage of Millipede,Recommended,CIP2016,CO_331:0000557,Visual estimation - Millipede damage,Estimation,Observe the Millipede damage and rate it,,CIP2016,CO_331:0000675,RtMillDam 5 pt. scale,Ordinal,,,,CIP2016,1= No damage,3 = Low damage,5 = Intermediate,7 = High,9 = Severe infestation,,,,,,,,,
,CO_331:0000806,RtAlcDam_Et_1to9,ALCDAM,Evaluation in Trials,Root bulking (RB),Recommended,CIP2016,"CIP, SASHA",T. Carey,,EN,Sweetpotato,CO_331:0000439,Alcidodes sp. damage,Biotic stress,The reaction of the storage root to Alcidodes sp.,,RtAlcDam,,Storage root,Damage of Alcidodes sp.,Recommended,CIP2016,CO_331:0000558,Visual estimation - Alcidodes sp. Damage,Estimation,"Observe the Alcidodes sp. damage in the storage root and rate it. Observe the damage caused by Alcidodes sp, it causes crown enlargement/galling or death by girdling",,CIP2016,CO_331:0000676,RtAlcDam 5 pt. scale,Ordinal,,,,CIP2016,1= No damage,3 = Low damage,5 = Intermediate,7 = High,9 = Severe infestation,,,,,,,,,
,CO_331:0000807,RtSInsDam_Et_1to9,INSDAM,Evaluation in Trials,Root bulking (RB),Recommended,CIP2016,"CIP, SASHA",T. Carey,,EN,Sweetpotato,CO_331:0000440,Soil insect damage,Biotic stress,The reaction of the storage root to soil insects,,RtSInsDam,,Storage root,Damage of soil insect,Recommended,CIP2016,CO_331:0000559,Visual estimation - Soil insect damage,Estimation,Observe the Soil insect damage and rate it Overall assessment of soil insect damage based on inspection of the harvested roots,,CIP2016,CO_331:0000677,RtSInsDam 5 pt. scale,Ordinal,,,,CIP2016,1= No damage,3 = Low damage,5 = Intermediate,7 = High,9 = Severe infestation,,,,,,,,,
,CO_331:0000809,RtCYld_Cp_tha,CYTHA,Evaluation in Trials,Harvest (H),Recommended,"Gruneberg et al., 2019:Def_3.2.7","CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000307,Commercial storage root yield,Agronomic,The yield of the commercial storage roots,,RtCYld,,Commercial storage root,Yield,Recommended,"Gruneberg et al., 2019:Def_3.2.7",CO_331:0000313,Computation - Commercial storage root yield method,Computation,Compute the yield of the commercial storage roots per net plot using the formula,(Weight of commercial storage roots/ NET plot area in m2)*10,"Gruneberg et al., 2019:Def_3.2.7",CO_331:0000897,t/ha,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0000810,RtDefS_Et_1to18,"RTDSEF,RTDEF2",Characterizing stocks,Postharvest (PH),Recommended,"Yencho,C.",CIP,C. Yencho,,EN,Sweetpotato,CO_331:0000811,Storage root surface secondary defects,Abiotic stress,Storage root surface secondary defects,,RtSSDef,,Storage root,surface secondary defects,Recommended,"Yencho,C.",CO_331:0002029,Visual estimation Storage Root Defects,Estimation,Type and/or name of secondary visible storage root defect,,"Yencho,C.",CO_331:0002032,RtSSDef 14 pt. scale,Nominal,,,,"Yencho, C.",1 = Blisters (B),2 = Tea Staining (TS),3 = Air Cracking (AC),4 = Bumpy (B),5 = Cracking (CR),6 = Early Season Cracking (ESC),7 = Grooves (GR),8 = Insect Damage (INS),9 = LT = Excessive Latex,10 = Skinning (SK),11 = Sprouts (SPR),12 = Striations (STR),13 = Tails (T),14 = Veins (VN)
,CO_331:0000979,RwRtFru_Ms_g100gFW,FRUCFW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,"CIP, SASHA, NCSU",W. Gruneberg,,EN,Sweetpotato,CO_331:0001068,Storage root fructose content in fresh weight basis,Quality,Fructose content in fresh weight basis of the storage root,,RtFruFw,,Storage root,Fructose content in fresh weight basis,Recommended,CIP_QNlab,CO_331:0002095,Measurement Fructose- Near-infrared spectroscopy (NIRS) method of the raw storage root in fresh weight,Measurement,Measure the fructose content of the raw storage root in fresh weight basis and record it,,CIP_QNlab,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
